File Name,Folder Path,File Type,Total Lines,Blank Lines,Code Lines,Comment/Doc Lines,Purpose/Description,Quality
.gitattributes,/home/user/Turas,none,2,0,,,Git attributes configuration,N/A
.gitignore,/home/user/Turas,none,57,9,,,Git ignore rules,N/A
ARCHITECTURE.md,/home/user/Turas,md,687,154,,,Documentation file,N/A
README.md,/home/user/Turas,md,170,37,,,Module overview and general information,N/A
SETUP_AND_TEMPLATES_GUIDE.md,/home/user/Turas,md,887,195,,,Graphical user interface,N/A
TROUBLESHOOTING.md,/home/user/Turas,md,342,93,,,Documentation file,N/A
Turas.Rproj,/home/user/Turas,rproj,13,3,,,RStudio project configuration,N/A
analyze_repository.R,/home/user/Turas,r,357,50,269,38,Unknown purpose,Solid
analyze_repository.py,/home/user/Turas,py,349,53,,,Python script,N/A
Active_Scripts_Reference.md,docs,md,405,97,,,Documentation file,N/A
CODE_REVIEW_SUMMARY.md,docs,md,580,145,,,Documentation file,N/A
Composite_Scores_Implementation_Summary.md,docs,md,454,88,,,Documentation file,N/A
Index_Summary_Maintenance_Guide.md,docs,md,934,228,,,Graphical user interface,N/A
Index_Summary_User_Manual.md,docs,md,352,106,,,Detailed user manual and instructions,N/A
MAINTENANCE.md,docs,md,1036,317,,,Maintenance guide for code upkeep,N/A
SPSS_compatibility.md,docs,md,105,36,,,Documentation file,N/A
Shared_Code_Refactoring_Plan.md,docs,md,684,131,,,Documentation file,N/A
TURAS_Developer_Maintenance_Guide.docx,docs,docx,123,4,,,Graphical user interface,N/A
Tracker_integration_considerations.md,docs,md,292,113,,,Documentation file,N/A
Turas Code Quality Standards.docx,docs,docx,173,3,,,Word document with detailed documentation,N/A
TurasTabs_Composite_Scores_User_Manual.docx,docs,docx,146,0,,,Word document with detailed documentation,N/A
TurasTracker_Maintenance_Guide.md,docs,md,1115,256,,,Graphical user interface,N/A
TurasTracker_User_Manual.md,docs,md,911,237,,,Detailed user manual and instructions,N/A
USER_MANUAL.md,docs,md,476,120,,,Detailed user manual and instructions,N/A
CODEBASE_ANALYSIS.md,docs/archive,md,1182,233,,,Documentation file,N/A
README.md,docs/archive,md,40,11,,,Module overview and general information,N/A
TEST_BUG_FIXES.md,docs/archive,md,226,65,,,Test suite for module functionality,N/A
TURAS_Parser_Enhancement_Development_Brief.md,docs/archive/development_specs,md,1037,193,,,Documentation file,N/A
TURAS_Parser_v2_Architecture_Diagram.txt,docs/archive/development_specs,txt,439,46,,,Text documentation or notes,N/A
TURAS_Parser_v2_Implementation_Checklist.md,docs/archive/development_specs,md,334,62,,,Documentation file,N/A
turas_conjoint_development_spec_v1.md,docs/archive/development_specs,md,1775,379,,,Documentation file,N/A
turas_key_driver_analysis_spec.md,docs/archive/development_specs,md,1444,286,,,Documentation file,N/A
turas_pricing_module_spec.md,docs/archive/development_specs,md,4371,794,,,Documentation file,N/A
README.md,docs/archive/feedback,md,24,7,,,Module overview and general information,N/A
added confidence feedback from chatgpt.txt,docs/archive/feedback,txt,286,39,,,Text documentation or notes,N/A
confidence review feedback from chatgpt.txt,docs/archive/feedback,txt,1066,135,,,Text documentation or notes,N/A
