respondent_id,gender,age_group,region,satisfaction,recommend,quality,value,weight
1,Male,18-34,North,8,9,8,7,1.2
2,Female,35-54,South,7,8,7,6,0.9
3,Male,55+,East,9,10,9,8,1.1
4,Female,18-34,West,6,7,6,5,1.0
5,Male,35-54,North,8,8,9,7,1.3
6,Female,55+,South,7,8,7,7,0.8
7,Male,18-34,East,9,9,8,8,1.0
8,Female,35-54,West,6,6,7,6,1.1
9,Male,55+,North,8,9,8,8,1.2
10,Female,18-34,South,7,7,6,7,0.9
11,Male,35-54,East,9,10,9,9,1.0
12,Female,55+,West,8,8,8,7,1.1
13,Male,18-34,North,7,8,7,6,1.0
14,Female,35-54,South,8,9,8,8,0.9
15,Male,55+,East,9,9,9,8,1.2
16,Female,18-34,West,6,7,7,6,1.0
17,Male,35-54,North,8,8,8,7,1.1
18,Female,55+,South,7,8,7,7,0.8
19,Male,18-34,East,9,10,9,9,1.0
20,Female,35-54,West,7,7,7,6,1.2
21,Male,55+,North,8,9,8,8,1.1
22,Female,18-34,South,6,6,6,5,0.9
23,Male,35-54,East,9,9,9,8,1.0
24,Female,55+,West,8,8,8,7,1.0
25,Male,18-34,North,7,8,7,7,1.1
26,Female,35-54,South,8,9,8,8,0.9
27,Male,55+,East,9,10,9,9,1.2
28,Female,18-34,West,6,7,6,6,1.0
29,Male,35-54,North,8,8,8,7,1.0
30,Female,55+,South,7,8,7,7,0.8
31,Male,18-34,East,9,9,9,8,1.1
32,Female,35-54,West,7,7,7,6,1.0
33,Male,55+,North,8,9,8,8,1.2
34,Female,18-34,South,6,6,6,5,0.9
35,Male,35-54,East,9,10,9,9,1.0
36,Female,55+,West,8,8,8,7,1.1
37,Male,18-34,North,7,8,7,7,1.0
38,Female,35-54,South,8,9,8,8,0.9
39,Male,55+,East,9,9,9,9,1.2
40,Female,18-34,West,6,7,7,6,1.0
41,Male,35-54,North,8,8,8,7,1.1
42,Female,55+,South,7,8,7,7,0.8
43,Male,18-34,East,9,10,9,8,1.0
44,Female,35-54,West,7,7,7,6,1.2
45,Male,55+,North,8,9,8,8,1.1
46,Female,18-34,South,6,6,6,5,0.9
47,Male,35-54,East,9,9,9,8,1.0
48,Female,55+,West,8,8,8,7,1.0
49,Male,18-34,North,7,8,7,7,1.1
50,Female,35-54,South,8,9,8,8,0.9
