respondent_id,wave,wave_date,satisfaction,recommend,aware,region,weight
1,1,2024-01,7,8,1,North,1.0
2,1,2024-01,8,9,1,South,1.1
3,1,2024-01,6,7,0,East,0.9
4,1,2024-01,9,9,1,West,1.0
5,1,2024-01,7,8,1,North,1.2
6,2,2024-04,8,9,1,North,1.0
7,2,2024-04,9,10,1,South,1.1
8,2,2024-04,7,8,1,East,0.9
9,2,2024-04,10,10,1,West,1.0
10,2,2024-04,8,9,1,North,1.2
11,3,2024-07,8,9,1,North,1.0
12,3,2024-07,9,9,1,South,1.1
13,3,2024-07,7,8,1,East,0.9
14,3,2024-07,9,10,1,West,1.0
15,3,2024-07,8,9,1,North,1.2
16,1,2024-01,8,8,1,South,1.0
17,1,2024-01,7,7,1,East,1.1
18,1,2024-01,6,6,0,West,0.9
19,1,2024-01,9,9,1,North,1.0
20,1,2024-01,8,8,1,South,1.1
21,2,2024-04,9,9,1,South,1.0
22,2,2024-04,8,8,1,East,1.1
23,2,2024-04,7,7,1,West,0.9
24,2,2024-04,10,10,1,North,1.0
25,2,2024-04,9,9,1,South,1.1
26,3,2024-07,9,9,1,South,1.0
27,3,2024-07,8,8,1,East,1.1
28,3,2024-07,7,8,1,West,0.9
29,3,2024-07,10,10,1,North,1.0
30,3,2024-07,9,9,1,South,1.1
31,1,2024-01,7,8,1,East,1.0
32,1,2024-01,8,8,1,West,1.1
33,1,2024-01,6,7,0,North,0.9
34,1,2024-01,9,9,1,South,1.0
35,1,2024-01,7,8,1,East,1.1
36,2,2024-04,8,9,1,East,1.0
37,2,2024-04,9,9,1,West,1.1
38,2,2024-04,7,8,1,North,0.9
39,2,2024-04,10,10,1,South,1.0
40,2,2024-04,8,9,1,East,1.1
41,3,2024-07,8,9,1,East,1.0
42,3,2024-07,9,9,1,West,1.1
43,3,2024-07,7,8,1,North,0.9
44,3,2024-07,10,10,1,South,1.0
45,3,2024-07,8,9,1,East,1.1
