resp_id,choice_set_id,alternative_id,Brand,Price,Screen_Size,Battery_Life,Camera_Quality,chosen
1,1,1,Apple,$299,6.7 inches,18 hours,Basic,1
1,1,2,Samsung,$399,6.7 inches,12 hours,Excellent,0
1,1,3,Apple,$599,5.5 inches,12 hours,Basic,0
1,2,1,Samsung,$399,6.7 inches,24 hours,Basic,0
1,2,2,Samsung,$599,5.5 inches,18 hours,Excellent,0
1,2,3,Google,$299,5.5 inches,24 hours,Good,1
1,3,1,Google,$499,5.5 inches,12 hours,Good,1
1,3,2,Apple,$299,6.1 inches,12 hours,Good,0
1,3,3,Google,$499,5.5 inches,24 hours,Good,0
1,4,1,Apple,$599,5.5 inches,24 hours,Good,0
1,4,2,Google,$399,6.7 inches,12 hours,Basic,1
1,4,3,Samsung,$499,5.5 inches,12 hours,Basic,0
1,5,1,OnePlus,$499,6.1 inches,24 hours,Good,0
1,5,2,Samsung,$499,6.1 inches,12 hours,Excellent,0
1,5,3,Google,$299,6.7 inches,24 hours,Basic,1
1,6,1,Samsung,$399,6.1 inches,18 hours,Good,1
1,6,2,Samsung,$499,5.5 inches,12 hours,Basic,0
1,6,3,Google,$599,6.1 inches,12 hours,Basic,0
1,7,1,Google,$399,6.7 inches,18 hours,Good,1
1,7,2,OnePlus,$399,6.1 inches,12 hours,Basic,0
1,7,3,Google,$599,6.7 inches,18 hours,Good,0
1,8,1,Samsung,$399,6.7 inches,18 hours,Basic,1
1,8,2,Apple,$299,5.5 inches,24 hours,Basic,0
1,8,3,OnePlus,$299,6.1 inches,18 hours,Excellent,0
2,9,1,OnePlus,$499,6.7 inches,12 hours,Excellent,0
2,9,2,Apple,$499,6.7 inches,18 hours,Basic,1
2,9,3,Google,$599,5.5 inches,18 hours,Basic,0
2,10,1,Google,$399,6.7 inches,12 hours,Excellent,0
2,10,2,Google,$399,5.5 inches,18 hours,Basic,0
2,10,3,Apple,$499,6.1 inches,12 hours,Basic,1
2,11,1,Google,$499,5.5 inches,12 hours,Basic,0
2,11,2,Apple,$299,6.7 inches,18 hours,Basic,0
2,11,3,Samsung,$399,6.7 inches,18 hours,Excellent,1
2,12,1,Samsung,$499,6.7 inches,24 hours,Good,1
2,12,2,Samsung,$399,6.7 inches,18 hours,Good,0
2,12,3,Google,$599,6.7 inches,18 hours,Basic,0
2,13,1,Samsung,$399,5.5 inches,18 hours,Basic,0
2,13,2,Samsung,$399,5.5 inches,12 hours,Excellent,1
2,13,3,Apple,$399,5.5 inches,12 hours,Good,0
2,14,1,Apple,$399,6.1 inches,24 hours,Good,0
2,14,2,Samsung,$399,6.7 inches,24 hours,Excellent,1
2,14,3,OnePlus,$399,6.1 inches,18 hours,Basic,0
2,15,1,Apple,$299,6.7 inches,18 hours,Good,1
2,15,2,OnePlus,$599,6.1 inches,24 hours,Basic,0
2,15,3,Apple,$299,6.1 inches,24 hours,Good,0
2,16,1,Apple,$399,5.5 inches,12 hours,Excellent,1
2,16,2,OnePlus,$399,6.1 inches,12 hours,Good,0
2,16,3,OnePlus,$399,5.5 inches,18 hours,Excellent,0
3,17,1,Apple,$299,6.7 inches,24 hours,Basic,1
3,17,2,Apple,$399,5.5 inches,18 hours,Good,0
3,17,3,OnePlus,$399,6.1 inches,12 hours,Basic,0
3,18,1,OnePlus,$299,6.1 inches,18 hours,Good,0
3,18,2,Google,$599,6.7 inches,24 hours,Excellent,1
3,18,3,OnePlus,$399,5.5 inches,18 hours,Basic,0
3,19,1,Apple,$299,6.7 inches,18 hours,Basic,0
3,19,2,Apple,$599,6.7 inches,24 hours,Basic,0
3,19,3,Apple,$299,5.5 inches,12 hours,Excellent,1
3,20,1,Apple,$399,6.1 inches,12 hours,Excellent,0
3,20,2,Samsung,$299,6.7 inches,12 hours,Good,1
3,20,3,Google,$499,5.5 inches,24 hours,Excellent,0
3,21,1,Google,$399,6.1 inches,18 hours,Basic,1
3,21,2,Google,$599,6.1 inches,12 hours,Basic,0
3,21,3,OnePlus,$299,5.5 inches,24 hours,Basic,0
3,22,1,Google,$399,6.1 inches,12 hours,Basic,0
3,22,2,Google,$499,5.5 inches,18 hours,Excellent,0
3,22,3,Google,$299,6.7 inches,24 hours,Good,1
3,23,1,Apple,$399,6.1 inches,12 hours,Basic,0
3,23,2,Samsung,$499,6.1 inches,24 hours,Basic,0
3,23,3,Google,$399,6.7 inches,24 hours,Good,1
3,24,1,OnePlus,$499,5.5 inches,12 hours,Excellent,0
3,24,2,OnePlus,$499,5.5 inches,12 hours,Good,0
3,24,3,Samsung,$499,5.5 inches,24 hours,Good,1
4,25,1,OnePlus,$299,5.5 inches,12 hours,Excellent,1
4,25,2,Samsung,$299,6.1 inches,24 hours,Excellent,0
4,25,3,Samsung,$599,5.5 inches,12 hours,Good,0
4,26,1,Google,$299,6.1 inches,12 hours,Excellent,0
4,26,2,Samsung,$299,6.1 inches,24 hours,Good,1
4,26,3,Samsung,$399,5.5 inches,12 hours,Good,0
4,27,1,Apple,$399,6.7 inches,18 hours,Good,1
4,27,2,Samsung,$499,5.5 inches,24 hours,Basic,0
4,27,3,OnePlus,$299,6.1 inches,12 hours,Basic,0
4,28,1,OnePlus,$499,6.1 inches,12 hours,Basic,0
4,28,2,Apple,$399,6.1 inches,18 hours,Good,0
4,28,3,Apple,$499,6.1 inches,24 hours,Excellent,1
4,29,1,OnePlus,$499,5.5 inches,12 hours,Good,0
4,29,2,Samsung,$499,5.5 inches,12 hours,Excellent,1
4,29,3,OnePlus,$499,6.7 inches,18 hours,Good,0
4,30,1,Apple,$599,6.7 inches,12 hours,Good,0
4,30,2,Apple,$599,5.5 inches,24 hours,Excellent,0
4,30,3,Samsung,$499,6.1 inches,12 hours,Excellent,1
4,31,1,Google,$499,6.7 inches,12 hours,Excellent,1
4,31,2,Google,$499,6.7 inches,18 hours,Good,0
4,31,3,OnePlus,$499,6.7 inches,12 hours,Basic,0
4,32,1,OnePlus,$599,6.7 inches,24 hours,Basic,0
4,32,2,Google,$599,6.7 inches,12 hours,Good,0
4,32,3,Google,$399,6.1 inches,24 hours,Excellent,1
5,33,1,Google,$599,6.1 inches,18 hours,Excellent,0
5,33,2,Samsung,$599,6.7 inches,12 hours,Excellent,0
5,33,3,Apple,$499,6.7 inches,24 hours,Excellent,1
5,34,1,Google,$299,5.5 inches,24 hours,Good,1
5,34,2,Samsung,$399,5.5 inches,12 hours,Basic,0
5,34,3,Samsung,$599,6.7 inches,12 hours,Good,0
5,35,1,OnePlus,$399,6.7 inches,24 hours,Good,1
5,35,2,OnePlus,$599,5.5 inches,12 hours,Excellent,0
5,35,3,Apple,$299,6.1 inches,12 hours,Basic,0
5,36,1,OnePlus,$299,6.7 inches,12 hours,Basic,0
5,36,2,OnePlus,$399,6.1 inches,24 hours,Excellent,1
5,36,3,Google,$599,6.7 inches,24 hours,Excellent,0
5,37,1,OnePlus,$599,5.5 inches,24 hours,Good,0
5,37,2,OnePlus,$499,5.5 inches,24 hours,Good,1
5,37,3,OnePlus,$399,6.1 inches,18 hours,Basic,0
5,38,1,Google,$399,6.1 inches,18 hours,Good,1
5,38,2,Apple,$399,5.5 inches,12 hours,Good,0
5,38,3,Samsung,$399,5.5 inches,18 hours,Good,0
5,39,1,Google,$599,6.1 inches,12 hours,Basic,1
5,39,2,OnePlus,$599,6.7 inches,24 hours,Basic,0
5,39,3,OnePlus,$599,5.5 inches,18 hours,Good,0
5,40,1,OnePlus,$599,6.7 inches,24 hours,Excellent,1
5,40,2,Samsung,$599,5.5 inches,18 hours,Good,0
5,40,3,OnePlus,$299,6.1 inches,18 hours,Excellent,0
6,41,1,OnePlus,$399,6.1 inches,12 hours,Excellent,0
6,41,2,Apple,$599,6.7 inches,24 hours,Excellent,0
6,41,3,Apple,$299,6.7 inches,18 hours,Basic,1
6,42,1,OnePlus,$399,5.5 inches,18 hours,Good,0
6,42,2,Google,$399,6.1 inches,18 hours,Good,1
6,42,3,OnePlus,$499,6.1 inches,18 hours,Basic,0
6,43,1,OnePlus,$299,6.7 inches,24 hours,Basic,0
6,43,2,Google,$399,6.7 inches,12 hours,Excellent,0
6,43,3,Apple,$299,5.5 inches,12 hours,Basic,1
6,44,1,Samsung,$399,5.5 inches,18 hours,Excellent,0
6,44,2,Apple,$399,6.1 inches,24 hours,Good,0
6,44,3,Google,$399,6.7 inches,24 hours,Excellent,1
6,45,1,Apple,$399,6.1 inches,12 hours,Excellent,1
6,45,2,Apple,$499,6.7 inches,24 hours,Good,0
6,45,3,OnePlus,$399,5.5 inches,24 hours,Excellent,0
6,46,1,Samsung,$299,6.7 inches,18 hours,Excellent,1
6,46,2,Apple,$299,6.1 inches,24 hours,Good,0
6,46,3,Google,$299,6.7 inches,24 hours,Good,0
6,47,1,Apple,$599,6.1 inches,12 hours,Good,0
6,47,2,Google,$599,6.7 inches,12 hours,Good,0
6,47,3,Samsung,$499,6.7 inches,24 hours,Good,1
6,48,1,OnePlus,$599,6.7 inches,24 hours,Good,0
6,48,2,Google,$399,5.5 inches,18 hours,Good,0
6,48,3,Samsung,$599,6.7 inches,24 hours,Excellent,1
7,49,1,OnePlus,$499,5.5 inches,18 hours,Good,0
7,49,2,Samsung,$599,5.5 inches,18 hours,Good,1
7,49,3,Google,$499,6.7 inches,24 hours,Good,0
7,50,1,Apple,$399,5.5 inches,12 hours,Excellent,1
7,50,2,OnePlus,$599,6.7 inches,12 hours,Excellent,0
7,50,3,OnePlus,$599,6.1 inches,12 hours,Basic,0
7,51,1,Google,$399,6.1 inches,24 hours,Basic,0
7,51,2,Google,$499,6.1 inches,24 hours,Excellent,1
7,51,3,Google,$599,6.7 inches,24 hours,Good,0
7,52,1,Google,$599,6.1 inches,18 hours,Good,0
7,52,2,Samsung,$299,6.7 inches,12 hours,Good,0
7,52,3,Apple,$399,5.5 inches,12 hours,Excellent,1
7,53,1,OnePlus,$499,6.7 inches,24 hours,Excellent,0
7,53,2,Google,$299,5.5 inches,18 hours,Basic,0
7,53,3,Google,$399,6.1 inches,12 hours,Excellent,1
7,54,1,Samsung,$499,5.5 inches,12 hours,Excellent,0
7,54,2,Google,$399,6.7 inches,18 hours,Basic,1
7,54,3,Apple,$499,6.1 inches,18 hours,Good,0
7,55,1,Google,$399,5.5 inches,18 hours,Good,0
7,55,2,Apple,$299,6.1 inches,18 hours,Basic,0
7,55,3,Apple,$399,5.5 inches,24 hours,Good,1
7,56,1,Apple,$399,5.5 inches,24 hours,Good,1
7,56,2,Samsung,$599,6.1 inches,18 hours,Good,0
7,56,3,OnePlus,$499,6.7 inches,24 hours,Basic,0
8,57,1,Apple,$399,6.7 inches,12 hours,Good,1
