respondent_id,q1_too_cheap,q2_bargain,q3_expensive,q4_too_expensive,age,gender
1001,25,50,100,150,34,M
1002,30,60,120,180,28,F
1003,20,45,90,135,42,M
1004,35,70,140,200,31,F
1005,25,55,110,165,45,M
1006,28,58,115,170,29,F
1007,22,48,95,145,38,M
1008,32,65,130,190,26,F
1009,27,54,108,160,41,M
1010,24,52,105,155,33,F
1011,30,62,125,185,37,M
1012,26,56,112,168,30,F
1013,23,50,100,150,44,M
1014,31,64,128,188,27,F
1015,29,60,120,175,39,M
1016,25,53,106,158,32,F
1017,28,57,114,172,36,M
1018,21,47,94,142,43,F
1019,33,66,132,195,25,M
1020,27,55,110,165,40,F
1021,24,51,102,153,35,M
1022,30,61,122,182,28,F
1023,26,54,108,162,46,M
1024,22,49,98,148,31,F
1025,29,59,118,176,34,M
1026,25,52,104,156,29,F
1027,31,63,126,186,42,M
1028,28,56,113,169,26,F
1029,23,50,100,150,38,M
1030,32,65,129,192,33,F
1031,27,55,110,164,41,M
1032,24,53,105,158,30,F
1033,30,60,120,180,37,M
1034,26,57,114,170,44,F
1035,21,46,92,140,27,M
1036,33,67,134,198,32,F
1037,28,58,116,174,39,M
1038,25,54,108,162,36,F
1039,29,61,122,183,43,M
1040,22,48,96,145,25,F
1041,31,64,128,190,40,M
1042,27,56,112,167,28,F
1043,24,52,104,156,35,M
1044,30,62,124,184,31,F
1045,26,55,110,165,46,M
1046,23,49,99,149,29,F
1047,32,66,132,196,34,M
1048,28,57,115,172,42,F
1049,25,53,106,159,26,M
1050,29,60,120,178,38,F
1051,21,47,94,142,33,M
1052,33,68,136,200,41,F
1053,27,55,111,166,30,M
1054,24,51,103,154,37,F
1055,30,63,125,186,44,M
1056,26,54,108,163,27,F
1057,22,48,97,146,32,M
1058,31,65,130,192,39,F
1059,28,58,116,173,25,M
1060,25,52,105,157,36,F
1061,29,61,121,181,43,M
1062,23,50,100,151,28,F
1063,32,66,133,197,35,M
1064,27,56,113,168,31,F
1065,24,53,106,160,40,M
1066,30,62,124,185,29,F
1067,26,55,110,165,46,M
1068,21,46,93,141,34,F
1069,33,67,135,199,42,M
1070,28,57,114,171,26,F
1071,25,54,108,162,38,M
1072,29,60,120,179,33,F
1073,22,49,98,147,41,M
1074,31,64,129,191,30,F
1075,27,56,112,167,37,M
1076,24,51,103,155,44,F
1077,30,63,126,187,27,M
1078,26,55,110,164,32,F
1079,23,50,100,150,39,M
1080,32,66,132,195,25,F
1081,28,58,115,172,36,M
1082,25,53,106,158,43,F
1083,29,61,122,182,28,M
1084,21,47,94,143,35,F
1085,33,68,136,200,31,M
1086,27,55,111,166,40,F
1087,24,52,104,156,29,M
1088,30,62,125,185,46,F
1089,26,54,109,163,34,M
1090,22,48,97,146,42,F
1091,31,65,130,193,26,M
1092,28,57,114,170,38,F
1093,25,53,106,159,33,M
1094,29,60,120,178,41,F
1095,23,50,100,151,30,M
1096,32,66,133,196,37,F
1097,27,56,112,168,44,M
1098,24,51,103,154,27,F
1099,30,63,126,186,32,M
1100,26,55,110,165,39,F
