"category","label","base","freq1","freq2","freq3","freq4","amount_alias","amount_basis","count_alias","legs_alias","presence_alias","presence_option","assumed_cadence","spend_class","aliases_missing"
"PrepaidElectricity","Prepaid electricity","Own","PPUOwnFreq1","PPUOwnFreq2","PPUOwnFreq3","PPUOwnFreq4","PPUOwnAmount","monthly","","","PPU","Your own household","","consumption",""
"PrepaidElectricity","Prepaid electricity","Oth","PPUOthFreq1","PPUOthFreq2","PPUOthFreq3","PPUOthFreq4","PPUOthAmount","monthly","","","PPU","Someone else","","consumption",""
"Airtime","Prepaid airtime","Own","AirtimeOwnFreq1","AirtimeOwnFreq2","AirtimeOwnFreq3","AirtimeOwnFreq4","AirtimeOwnAmount","per_txn","","","Airtime","Myself","","consumption",""
"Airtime","Prepaid airtime","Oth","AirtimeOthFreq1","AirtimeOthFreq2","AirtimeOthFreq3","AirtimeOthFreq4","AirtimeOthAmount","per_txn","","","Airtime","Someone else","","consumption",""
"Data","Prepaid data","Own","DataSelfFreq1","DataSelfFreq2","DataSelfFreq3","DataSelfFreq4","DataAmountSelf","per_txn","","","Data","Myself","","consumption",""
"Data","Prepaid data","Oth","DataOthFreq1","DataOthFreq2","DataOthFreq3","DataOthFreq4","DataOthAmount","per_txn","","","Data","Someone else","","consumption",""
"DigitalVouchers","Digital vouchers","Own","VoucherOwnFreq1","VoucherOwnFreq2","VoucherOwnFreq3","VoucherOwnFreq4","VoucherOwnAmount","per_txn","","","Voucher","Myself","","consumption",""
"DigitalVouchers","Digital vouchers","Oth","VoucherOthFreq1","VoucherOthFreq2","VoucherOthFreq3","VoucherOthFreq4","VoucherOthAmount","per_txn","","","Voucher","Someone else","","consumption",""
"ShortDistanceBus","Short distance bus","Own","SDBusOwnFreq1","SDBusOwnFreq2","SDBusOwnFreq3","SDBusOwnFreq4","SDBusOwnAmount","monthly","","","","","","consumption",""
"ShortDistanceBus","Short distance bus","Oth","SDBusOthFreq1","SDBusOthFreq2","SDBusOthFreq3","SDBusOthFreq4","SDBusOthAmount","monthly","","","","","","consumption",""
"BillTraffic","Traffic fines","Own","BillTrafficOwnFreq1","BillTrafficOwnFreq2","BillTrafficOwnFreq3","BillTrafficOwnFreq4","BillTrafficOwnAmount","last_occasion","","","","","","obligation",""
"BillTraffic","Traffic fines","Oth","BillTrafficOthFreq1","BillTrafficOthFreq2","BillTrafficOthFreq3","BillTrafficOthFreq4","BillTrafficOthAmount","last_occasion","","","","","","obligation",""
"BillClothing","Clothing/fashion","Own","BillClothingOwnFreq1","BillClothingOwnFreq2","BillClothingOwnFreq3","BillClothingOwnFreq4","BillClothingOwnAmount","last_occasion","","","","","","obligation",""
"BillClothing","Clothing/fashion","Oth","BillClothingOthFreq1","BillClothingOthFreq2","BillClothingOthFreq3","BillClothingOthFreq4","BillClothingOthAmount","last_occasion","","","","","","obligation",""
"BillFurniture","Furniture","Own","BillFurnitureOwnFreq1","BillFurnitureOwnFreq2","BillFurnitureOwnFreq3","BillFurnitureOwnFreq4","BillFurnitureOwnAmount","last_occasion","","","","","","obligation",""
"BillFurniture","Furniture","Oth","BillFurnitureOthFreq1","BillFurnitureOthFreq2","BillFurnitureOthFreq3","BillFurnitureOthFreq4","BillFurnitureOthAmount","last_occasion","","","","","","obligation",""
"BillEducation","Education","Own","BillEducationOwnFreq1","BillEducationOwnFreq2","BillEducationOwnFreq3","BillEducationOwnFreq4","BillEducationOwnAmount","last_occasion","","","","","","obligation",""
"BillEducation","Education","Oth","BillEducationOthFreq1","BillEducationOthFreq2","BillEducationOthFreq3","BillEducationOthFreq4","BillEducationOthAmount","last_occasion","","","","","","obligation",""
"BillHealth","Health","Own","BillHealthOwnFreq1","BillHealthOwnFreq2","BillHealthOwnFreq3","BillHealthOwnFreq4","BillHealthOwnAmount","last_occasion","","","","","","obligation",""
"BillHealth","Health","Oth","BillHealthOthFreq1","BillHealthOthFreq2","BillHealthOthFreq3","BillHealthOthFreq4","BillHealthOthAmount","last_occasion","","","","","","obligation",""
"BillRetail","Retail credit","Own","BillRetailOwnFreq1","BillRetailOwnFreq2","BillRetailOwnFreq3","BillRetailOwnFreq4","BillRetailOwnAmount","last_occasion","","","","","","obligation",""
"BillRetail","Retail credit","Oth","BillRetailOthFreq1","BillRetailOthFreq2","BillRetailOthFreq3","BillRetailOthFreq4","BillRetailOthAmount","last_occasion","","","","","","obligation",""
"BillOther","Other bills","Own","BillOtherOwnFreq1","BillOtherOwnFreq2","BillOtherOwnFreq3","BillOtherOwnFreq4","BillOtherOwnAmount","last_occasion","","","","","","obligation",""
"BillOther","Other bills","Oth","BillOtherOthFreq1","BillOtherOthFreq2","BillOtherOthFreq3","BillOtherOthFreq4","BillOtherOthAmount","last_occasion","","","","","","obligation",""
"BillDSTV","DSTV / Multichoice","Own","","","","","BillDSTVOwnAmount","monthly","","","BillOwnWhich","Multi-choice / DSTV","monthly","obligation",""
"BillDSTV","DSTV / Multichoice","Oth","","","","","BillDSTVOthAmount","monthly","","","BillOthWhich","Multi-choice / DSTV","monthly","obligation",""
"BillMunicipal","Municipal account","Own","","","","","BillMunicipalOwnAmount","monthly","","","BillOwnWhich","Municipal Account","monthly","obligation",""
"BillMunicipal","Municipal account","Oth","","","","","BillMunicipalOthAmount","monthly","","","BillOthWhich","Municipal Account","monthly","obligation",""
"BillTelkom","Telkom / cellphone","Own","","","","","BillTelkomOwnAmount","monthly","","","BillOwnWhich","Telkom/Cellphone bill","monthly","obligation",""
"BillTelkom","Telkom / cellphone","Oth","","","","","BillTelkomOthAmount","monthly","","","BillOthWhich","Telkom/Cellphone bill","monthly","obligation",""
"BillInsurance","Insurance / funeral","Own","","","","","BillInsuranceOwnAmount","monthly","","","BillOwnWhich","Insurance and funeral policies","monthly","obligation",""
"BillInsurance","Insurance / funeral","Oth","","","","","BillInsuranceOthAmount","monthly","","","BillOthWhich","Insurance and funeral policies","monthly","obligation",""
"BillInternet","Internet subscription","Own","","","","","BillInternetOwnAmount","monthly","","","BillOwnWhich","Internet Subscription","monthly","obligation",""
"BillInternet","Internet subscription","Oth","","","","","BillInternetOthAmount","monthly","","","BillOthWhich","Internet Subscription","monthly","obligation",""
"BillVehicle","Vehicle licence","Own","","","","","BillVehicleOwnAmount","last_occasion","","","BillOwnWhich","Vehicle License","annual","obligation",""
"BillVehicle","Vehicle licence","Oth","","","","","BillVehicleOthAmount","last_occasion","","","BillOthWhich","Vehicle License","annual","obligation",""
"BillTVLicence","TV licence","Own","","","","","","imputed","","","BillOwnWhich","TV License","annual","obligation",""
"BillTVLicence","TV licence","Oth","","","","","","imputed","","","BillOthWhich","TV License","annual","obligation",""
"Lotto","LOTTO","Total","LottoFreq1","LottoFreq2","LottoFreq3","LottoFreq4","LottoAmount","per_txn","","","","","","consumption",""
"Betting","Betting vouchers","Total","BetFreq1","BetFreq2","BetFreq3","BetFreq4","BetAmount","per_txn","","","","","","consumption",""
"DomSend","Domestic transfer sent","Total","DomSendFreq1","DomSendFreq2","DomSendFreq3","DomSendFreq4","DomSendAmount","per_txn","","","","","","transfer",""
"DomRcv","Domestic transfer received","Total","DomRcvFreq1","DomRcvFreq2","DomRcvFreq3","DomRcvFreq4","DomRcvAmount","per_txn","","","","","","received",""
"IntlSend","International transfer","Total","IntlSendFreq1","IntlSendFreq2","IntlSendFreq3","IntlSendFreq4","IntlSendAmount","per_txn","","","","","","transfer",""
"EventSportWatch","Sport - watching","Total","EventSportWatchFreq1","EventSportWatchFreq2","EventSportWatchFreq3","EventSportWatchFreq4","EventSportWatchAmount","last_occasion","","","","","","consumption",""
"EventSportPlay","Sport - participation","Total","EventSportPlayFreq1","EventSportPlayFreq2","EventSportPlayFreq3","EventSportPlayFreq4","EventSportPlayAmount","last_occasion","","","","","","consumption",""
"EventConcert","Concerts","Total","EventConcertFreq1","EventConcertFreq2","EventConcertFreq3","EventConcertFreq4","EventConcertAmount","last_occasion","","","","","","consumption",""
"EventCultural","Cultural events","Total","EventCulturalFreq1","EventCulturalFreq2","EventCulturalFreq3","EventCulturalFreq4","EventCulturalAmount","last_occasion","","","","","","consumption",""
"EventTheatre","Theatre","Total","EventTheatreFreq1","EventTheatreFreq2","EventTheatreFreq3","EventTheatreFreq4","EventTheatreAmount","last_occasion","","","","","","consumption",""
"EventOther","Other events","Total","EventOtherFreq1","EventOtherFreq2","EventOtherFreq3","EventOtherFreq4","EventOtherAmount","last_occasion","","","","","","consumption",""
"FlightDomestic","Domestic flights","Total","","","","","","imputed","FlightDomCount","FlightDomReturn","","","","consumption",""
"FlightInternational","International flights","Total","","","","","","imputed","FlightIntlCount","FlightIntlReturn","","","","consumption",""
"LongDistanceBus","Long distance bus","Total","","","","","","imputed","LDBusCount","LDBusReturn","","","","consumption",""
