"export_header","alias","option_title","action","question_code","question_type"
"Response ID","Response ID",,"id","ResponseID",
"Time Started","Time Started",,"drop",,
"Date Submitted","Date Submitted",,"drop",,
"Status","Status",,"keep","ResponseStatus",
"IP Address","IP Address",,"drop",,
"Longitude","Longitude",,"drop",,
"Latitude","Latitude",,"drop",,
"Country","Country",,"drop",,
"City","City",,"drop",,
"State/Region","State/Region",,"drop",,
"Edit Links","Edit Links",,"drop",,
"gps_maps","gps_maps",,"drop",,
"gps_capture_field1","gps_capture_field1",,"drop",,
"gps_browser_time","gps_browser_time",,"drop",,
"gps_user_agent","gps_user_agent",,"drop",,
"gps_capture_count","gps_capture_count",,"drop",,
"gps_time_to_fix_ms","gps_time_to_fix_ms",,"drop",,
"gps_permission","gps_permission",,"drop",,
"gps_status_detail","gps_status_detail",,"drop",,
"gps_status","gps_status",,"drop",,
"gps_timestamp","gps_timestamp",,"drop",,
"gps_accuracy","gps_accuracy",,"drop",,
"gps_lon","gps_lon",,"drop",,
"gps_lat","gps_lat",,"drop",,
"Supervisor","Supervisor",,"drop",,
"Other (Specify):Supervisor","Supervisor","Other (Specify)","drop",,
"Consent","Consent",,"drop",,"RADIO"
"Age","Age",,"keep","Age","RADIO"
"Residence","Residence",,"drop",,"RADIO"
"BillPayer","BillPayer",,"keep","BillPayer","RADIO"
"Province","Province",,"keep","Province","RADIO"
"EC_Town","EC_Town",,"merge_town","Town","RADIO"
"Other (Please Specify):EC_Town","EC_Town","Other (Please Specify)","drop",,"RADIO"
"FS_Town","FS_Town",,"merge_town","Town","RADIO"
"Other (Please Specify):FS_Town","FS_Town","Other (Please Specify)","drop",,"RADIO"
"Gauteng_Town","Gauteng_Town",,"merge_town","Town","RADIO"
"Other (Please Specify):Gauteng_Town","Gauteng_Town","Other (Please Specify)","drop",,"RADIO"
"KZN_Town","KZN_Town",,"merge_town","Town","RADIO"
"Other (Please Specify):KZN_Town","KZN_Town","Other (Please Specify)","drop",,"RADIO"
"Limpopo_Town","Limpopo_Town",,"merge_town","Town","RADIO"
"Other (Please Specify):Limpopo_Town","Limpopo_Town","Other (Please Specify)","drop",,"RADIO"
"Mpuma_Town","Mpuma_Town",,"merge_town","Town","RADIO"
"Other (Please Specify):Mpuma_Town","Mpuma_Town","Other (Please Specify)","drop",,"RADIO"
"NW_Town","NW_Town",,"merge_town","Town","RADIO"
"Other (Please Specify):NW_Town","NW_Town","Other (Please Specify)","drop",,"RADIO"
"NC_Town","NC_Town",,"merge_town","Town","RADIO"
"Other (Please Specify):NC_Town","NC_Town","Other (Please Specify)","drop",,"RADIO"
"WC_Town","WC_Town",,"merge_town","Town","RADIO"
"Other (Please Specify):WC_Town","WC_Town","Other (Please Specify)","drop",,"RADIO"
"AreaType","AreaType",,"keep","AreaType","RADIO"
